['s-v1';'v1-w1';'w1-t'],['s-w1';'w1-t'],['s-v1';'v1-t']
4193,3,4
854,1680,1666
964,1653,1583
1214,1467,1519
1300,1411,1489
1469,1350,1381
1435,1373,1392
1466,1374,1360
1467,1362,1371
1496,1365,1339
1477,1401,1322
1442,1403,1355
1498,1332,1370
1489,1370,1341
1453,1346,1401
1469,1347,1384
1499,1350,1351
1466,1341,1393
1480,1384,1336
1464,1342,1394
1442,1391,1367
1547,1311,1342
1465,1320,1415
1442,1394,1364
1496,1347,1357
1531,1337,1332
1487,1361,1352
1501,1330,1369
1517,1336,1347
1535,1304,1361
1524,1305,1371
1456,1346,1398
1504,1320,1376
1501,1356,1343
1531,1341,1328
1488,1376,1336
1499,1330,1371
1481,1319,1400
1497,1408,1295
1460,1350,1390
1553,1312,1335
1463,1366,1371
1511,1363,1326
1481,1363,1356
1536,1342,1322
1516,1330,1354
1452,1405,1343
1514,1374,1312
1545,1314,1341
1484,1349,1367
1498,1360,1342
1524,1373,1303
1485,1395,1320
1535,1279,1386
1509,1398,1293
1465,1366,1369
1420,1377,1403
1541,1349,1310
1496,1355,1349
1531,1325,1344
1467,1401,1332
1499,1352,1349
1465,1428,1307
1525,1331,1344
1475,1383,1342
1551,1304,1345
1503,1359,1338
1528,1327,1345
1545,1325,1330
1506,1328,1366
1497,1349,1354
1498,1341,1361
1481,1370,1349
1507,1370,1323
1506,1392,1302
1535,1305,1360
1478,1350,1372
1540,1326,1334
1527,1353,1320
1563,1294,1343
1567,1316,1317
1518,1307,1375
1506,1343,1351
1479,1349,1372
1471,1373,1356
1528,1341,1331
1515,1339,1346
1501,1340,1359
1498,1333,1369
1496,1371,1333
1466,1394,1340
1503,1358,1339
1481,1374,1345
1502,1335,1363
1534,1349,1317
1476,1357,1367
1517,1329,1354
1473,1381,1346
1565,1298,1337
1471,1393,1336
