['s-v7'; 'v7-w7'; 'w7-t'],['s-v6'; 'v6-w6'; 'w6-t'],['s-v3'; 'v3-w3'; 'w3-t'],['s-v2'; 'v2-w2'; 'w2-t'],['s-v8'; 'v8-w8'; 'w8-t'],['s-v1'; 'v1-w1'; 'w1-t'],['s-v5'; 'v5-w5'; 'w5-t'],['s-v4'; 'v4-w4'; 'w4-t'],['s-v7'; 'v7-w6'; 'w6-t'],['s-v3'; 'v3-w2'; 'w2-t'],['s-v2'; 'v2-w1'; 'w1-t'],['s-v8'; 'v8-w7'; 'w7-t'],['s-v1'; 'v1-t'],['s-w8'; 'w8-t'],['s-v5'; 'v5-w4'; 'w4-t'],['s-v6'; 'v6-w5'; 'w5-t'],['s-v4'; 'v4-w3'; 'w3-t']
496,523,514,535,456,558,529,497,13,8,5,12,11,6,11,13,13
490,515,554,529,476,489,533,528,13,13,12,10,10,8,5,7,8
540,543,511,493,552,461,499,518,7,7,10,10,13,11,6,6,13
482,464,514,493,544,564,484,522,11,10,19,12,13,11,17,18,22
501,539,481,526,482,512,505,500,20,17,24,18,21,14,12,10,18
503,482,490,474,514,497,527,500,28,14,17,29,25,20,28,22,30
496,485,492,482,496,507,498,474,36,29,35,30,27,30,28,23,32
491,471,462,484,479,434,436,480,57,43,51,61,53,53,52,44,49
208,191,190,188,195,202,201,174,279,290,293,286,305,279,302,303,314
93,61,81,85,111,73,69,108,389,422,381,406,402,388,383,364,384
57,66,77,48,71,71,58,70,405,414,436,367,407,439,400,417,397
64,59,69,58,51,57,56,70,430,413,369,417,448,445,409,399,386
68,65,59,55,60,76,71,66,359,441,417,416,430,394,359,432,432
77,71,87,80,82,72,85,92,415,372,392,376,412,407,414,379,387
83,91,83,82,78,88,98,81,406,370,373,400,382,371,396,410,408
72,109,90,110,111,103,95,96,384,378,368,367,380,385,404,370,378
117,121,109,118,106,112,134,116,372,361,345,351,343,380,368,408,339
159,139,112,126,139,141,142,117,317,327,378,361,363,327,347,356,349
156,157,166,146,151,129,143,155,349,322,355,366,261,343,337,319,345
173,185,166,174,169,182,168,191,350,316,271,302,316,293,332,292,320
207,185,195,217,177,168,202,206,288,313,293,285,285,320,276,298,285
187,220,219,200,213,211,235,194,279,290,283,264,275,260,302,301,267
217,246,241,205,211,233,249,226,254,272,277,258,241,268,271,264,267
248,222,231,253,254,231,200,204,261,254,256,265,273,265,226,272,285
235,243,242,226,227,251,232,229,255,266,268,245,246,260,242,269,264
252,218,265,235,229,233,265,239,253,254,254,242,223,263,265,258,252
225,264,255,258,250,266,228,245,251,232,239,237,245,262,241,276,226
227,248,229,250,253,237,249,210,265,246,292,236,239,242,267,245,265
226,226,253,264,238,238,252,227,249,271,256,262,241,257,242,248,250
253,199,273,248,218,243,236,254,242,241,214,233,281,281,246,266,272
256,249,253,254,255,254,234,248,255,224,245,216,270,235,227,269,256
262,286,231,215,216,237,263,282,228,255,268,249,252,257,228,226,245
254,257,239,229,246,234,258,239,292,233,251,283,267,232,233,255,198
241,260,262,264,232,244,256,243,236,235,247,270,253,253,229,244,231
250,240,221,280,252,235,241,252,261,241,271,248,218,275,210,254,251
255,240,257,230,259,245,232,238,257,225,257,257,274,224,240,246,264
254,233,218,256,250,257,264,254,254,266,223,235,261,234,250,248,243
241,225,243,267,263,247,242,242,233,250,257,275,227,230,251,254,253
261,244,240,223,241,249,261,252,244,248,227,265,241,252,261,248,243
261,236,236,254,229,227,271,231,258,248,246,281,244,242,225,251,260
237,274,236,244,228,218,254,247,246,243,256,257,236,278,276,214,256
238,231,240,234,266,219,222,259,258,280,230,281,232,236,270,261,243
237,254,229,266,249,228,248,242,236,239,260,233,259,288,256,227,249
258,257,237,246,229,245,229,245,266,275,221,227,246,263,244,248,264
240,240,269,224,262,242,211,224,245,254,263,256,271,227,264,251,257
256,217,265,241,278,261,246,231,232,233,264,239,237,239,261,250,250
270,230,240,235,245,271,252,249,251,230,255,261,259,246,209,250,247
240,257,259,248,248,241,240,226,241,266,241,280,251,221,260,212,269
270,230,238,285,253,238,227,256,246,271,224,246,238,245,243,252,238
244,242,288,232,235,242,261,245,273,260,241,248,233,237,224,249,246
